authentication,Risk_Label
none,Low
query,Low
,Low
query,Medium
query,Low
header,Low
OAuth2,Low
header,Medium
none,Low
OAuth2,Low
query,Low
header,Low
OAuth2,Medium
OAuth2,Low
BasicAuth,Medium
query,Low
none,Medium
OAuth2,Medium
OAuth2,Low
query,Low
header,Medium
none,Medium
none,Low
query,Low
OAuth2,Low
OAuth2,Medium
OAuth2,Medium
header,Medium
OAuth2,Low
query,Medium
query,Medium
header,Low
query,Medium
query,Medium
query,Medium
none,Low
none,Low
query,Low
query,Low
OAuth2,Medium
query,Medium
query,Medium
query,Medium
query,Low
none,Low
none,Medium
OAuth2,Medium
query,Low
query,Medium
query,Low
header,Medium
query,Low
query,Low
none,Low
OAuth2,Low
OAuth2,Medium
OAuth2,Medium
none,Low
query,Low
BasicAuth,Low
OAuth2,Medium
body,Medium
none,Low
none,Medium
none,Low
none,Low
none,Low
,Low
none,Low
none,Medium
none,Low
none,Low
none,Medium
query,Low
none,Low
header,Low
none,Low
query,Medium
query,Low
query,Medium
header,Low
OAuth2,Medium
OAuth2,Medium
query,Low
none,Medium
OAuth2,Low
none,Medium
OAuth2,Medium
query,Low
query,Low
none,Medium
query,Medium
query,Medium
query,Medium
,Low
header,Medium
header,Low
OAuth2,Low
query,Medium
none,Low
header,Low
,Low
none,Medium
query,Low
header,Medium
,Low
query,Medium
OAuth2,Low
header,Medium
query,Low
OAuth2,Low
query,Medium
OAuth2,Low
query,Low
header,Medium
header,Low
query,Medium
none,Low
header,Low
none,Medium
OAuth2,Medium
OAuth2,Medium
query,Medium
none,Medium
OAuth2,Medium
query,Low
query,Low
query,Low
query,Medium
OAuth2,Medium
OAuth2,Medium
query,Medium
,Low
OAuth2,Medium
header,Medium
OAuth2,Medium
OAuth2,Medium
none,Medium
none,Low
query,Low
OAuth2,Medium
query,Medium
OAuth2,Medium
,Low
OAuth2,Low
query,Medium
OAuth2,Low
OAuth2,Low
query,Low
query,Low
none,Medium
OAuth2,Low
none,Low
none,Low
query,Medium
OAuth2,Medium
query,Low
path,Medium
query,Low
OAuth2,Medium
OAuth2,Low
query,Low
,Low
none,Low
OAuth2,Medium
query,Low
none,Medium
query,Medium
query,Low
none,Low
none,Low
none,Medium
query,Low
query,Low
none,Medium
query,Medium
query,Medium
OAuth2,Medium
query,Medium
none,Medium
query,Medium
none,Low
query,Medium
OAuth2,Low
OAuth2,Low
none,Medium
query,Medium
query,Low
header,Medium
none,Medium
OAuth2,Medium
none,Medium
none,Medium
none,Low
query,Low
query,Low
OAuth2,Medium
query,Medium
query,Low
none,Low
OAuth2,Low
OAuth1,Medium
query,Low
query,Low
query,Low
OAuth2,Medium
OAuth2,Medium
none,Low
,Low
query,Medium
query,Low
query,Low
query,Low
OAuth2,Low
path,Medium
none,Low
none,Low
OAuth2,Low
BasicAuth,Medium
none,Medium
none,Medium
OAuth2,Low
header,Medium
OAuth2,Medium
OAuth2,Medium
query,Low
query,Medium
query,Medium
query,Medium
query,Low
query,Medium
OAuth2,Low
none,Medium
query,Low
query,Medium
OAuth2,Medium
none,Low
none,Medium
none,Medium
OAuth2,Medium
query,Low
OAuth2,Medium
none,Medium
query,Low
query,Medium
none,Low
none,Low
none,Low
query,Medium
query,Medium
query,Low
none,Medium
OAuth2,Low
,Low
none,Low
,Low
OAuth2,Medium
none,Medium
OAuth2,Medium
OAuth2,Low
query,Medium
OAuth2,Low
query,Low
none,Medium
header,Medium
query,Low
query,Low
header,Low
query,Low
,Low
OAuth2,Medium
,Low
header,Medium
query,Medium
none,Medium
query,Low
query,Medium
query,Low
query,Low
none,Medium
query,Low
OAuth2,Medium
none,Low
query,Medium
OAuth2,Medium
query,Medium
query,Low
OAuth2,Medium
none,Medium
query,Medium
query,Low
OAuth2,Medium
query,Medium
OAuth2,Medium
query,Low
none,Low
BasicAuth,Medium
BasicAuth,Medium
none,Low
query,Low
none,Medium
header,Medium
query,Low
query,Low
OAuth2,Medium
query,Low
OAuth2,Medium
query,Low
query,Medium
none,Medium
header,Medium
query,Medium
header,Medium
query,Medium
none,Low
query,Medium
header,Low
,Low
query,Low
OAuth2,Medium
OAuth2,Low
query,Medium
OAuth2,Medium
OAuth2,Medium
query,Low
none,Low
OAuth2,Medium
header,Medium
query,Medium
query,Low
query,Low
query,Medium
query,Medium
OAuth2,Low
,Low
query,Medium
OAuth2,Medium
query,Medium
query,Medium
query,Low
OAuth2,Medium
query,Medium
OAuth2,Medium
OAuth2,Low
none,Low
header,Medium
query,Medium
OAuth2,Low
none,Medium
query,Medium
query,Medium
query,Low
query,Medium
none,Medium
query,Low
query,Low
OAuth2,Medium
header,Low
query,Medium
header,Medium
BasicAuth,Medium
none,High
OAuth2,Low
OAuth2,Medium
header,Low
query,Medium
OAuth2,Medium
none,Medium
query,Low
OAuth2,Medium
OAuth2,Medium
query,Low
BasicAuth,Medium
none,Low
none,Medium
query,Medium
none,Low
none,Medium
none,Low
query,Medium
query,Low
none,Medium
OAuth2,Medium
query,Medium
header,Medium
query,Medium
query,Low
query,Medium
query,Low
query,Medium
none,Medium
query,Low
none,Low
none,Low
query,Medium
header,Low
OAuth2,Medium
query,Medium
OAuth2,Medium
query,Low
BasicAuth,Medium
query,Low
OAuth2,Medium
query,Low
query,Low
OAuth2,Medium
OAuth2,Medium
query,Medium
path,Low
OAuth2,Medium
query,Medium
none,Low
query,Medium
none,Medium
none,Medium
OAuth2,Medium
none,Low
query,Low
query,Medium
query,Medium
none,Medium
none,Low
header,Medium
query,Medium
none,Medium
OAuth2,Medium
none,Medium
none,Low
query,Low
query,Low
path,Low
none,Medium
OAuth2,Medium
path,Medium
OAuth2,Medium
none,Low
OAuth2,Medium
none,Low
none,Medium
query,Medium
query,Low
header,Medium
OAuth2,Low
OAuth2,Medium
query,Medium
none,Medium
none,Medium
query,Medium
path,Low
query,Low
OAuth2,Medium
query,Medium
none,Low
header,Low
query,Medium
query,Low
none,Low
OAuth2,Low
OAuth2,Medium
query,Low
query,Low
BasicAuth,Medium
none,Low
query,Low
none,Medium
OAuth2,Medium
BasicAuth,Medium
OAuth2,Low
OAuth2,Medium
OAuth2,Low
OAuth2,Medium
OAuth2,Medium
header,Medium
OAuth2,Medium
header,Medium
,Low
header,Low
none,Medium
BasicAuth,Medium
query,Low
OAuth2,Medium
header,Medium
OAuth2,Low
OAuth2,Medium
none,Medium
OAuth2,Medium
none,Medium
query,Medium
none,Low
OAuth2,Medium
OAuth2,Low
query,Medium
,High
path,Medium
header,Low
OAuth2,Low
query,Medium
OAuth2,Medium
query,Low
,Low
none,Medium
query,Low
none,Medium
OAuth2,Medium
query,Medium
none,Medium
query,Medium
query,Medium
none,Medium
none,Medium
none,Low
query,Low
