iter	Passed	Remaining
0	25	25498
1	28	14203
2	42	14277
3	63	15851
4	67	13509
5	70	11755
6	73	10426
7	74	9269
8	77	8553
9	79	7840
10	81	7351
11	84	6948
12	86	6592
13	88	6260
14	90	5971
15	92	5717
16	95	5535
17	97	5314
18	99	5130
19	101	4975
20	103	4829
21	105	4700
22	107	4581
23	110	4475
24	112	4371
25	114	4276
26	116	4186
27	117	4082
28	119	4010
29	121	3939
30	123	3875
31	126	3816
32	128	3755
33	130	3700
34	132	3660
35	134	3612
36	136	3561
37	138	3518
38	140	3473
39	143	3433
40	145	3393
41	147	3359
42	149	3322
43	151	3290
44	153	3256
45	155	3223
46	157	3192
47	159	3164
48	161	3134
49	163	3110
50	165	3084
51	167	3058
52	169	3036
53	172	3014
54	173	2980
55	175	2965
56	178	2945
57	180	2923
58	182	2904
59	184	2891
60	186	2871
61	188	2852
62	190	2834
63	191	2803
64	193	2786
65	195	2769
66	197	2752
67	200	2743
68	201	2713
69	203	2698
70	205	2682
71	207	2671
72	209	2657
73	211	2643
74	213	2631
75	214	2608
76	216	2596
77	218	2583
78	220	2571
79	222	2563
80	224	2552
81	226	2539
82	228	2528
83	232	2533
84	234	2523
85	236	2513
86	239	2512
87	241	2501
88	243	2494
89	246	2493
90	248	2484
91	250	2474
92	252	2465
93	255	2463
94	257	2456
95	259	2448
96	262	2447
97	265	2439
98	267	2430
99	269	2427
100	272	2423
101	274	2414
102	277	2416
103	280	2415
104	282	2411
105	287	2421
106	289	2415
107	292	2416
108	295	2416
109	298	2413
110	302	2422
111	304	2416
112	305	2400
113	309	2406
114	311	2401
115	314	2395
116	318	2401
117	321	2399
118	328	2428
119	330	2424
120	334	2431
121	337	2427
122	342	2438
123	344	2433
124	347	2431
125	350	2431
126	352	2426
127	356	2431
128	360	2435
129	365	2449
130	368	2445
131	373	2456
132	376	2454
133	380	2460
134	382	2453
135	386	2452
136	389	2453
137	391	2448
138	396	2457
139	399	2453
140	403	2457
141	405	2451
142	408	2445
143	412	2451
144	414	2445
145	417	2444
146	421	2443
147	423	2437
148	428	2445
149	430	2439
150	434	2440
151	436	2434
152	438	2430
153	442	2432
154	445	2427
155	448	2428
156	453	2432
157	456	2430
158	459	2429
159	461	2421
160	463	2414
161	466	2413
162	469	2408
163	471	2403
164	474	2401
165	476	2394
166	478	2386
167	481	2385
168	484	2384
169	490	2394
170	492	2387
171	494	2380
172	497	2377
173	499	2370
174	501	2366
175	504	2363
176	506	2356
177	508	2348
178	511	2344
179	513	2339
180	515	2331
181	519	2336
182	522	2333
183	524	2328
184	528	2327
185	530	2322
186	532	2316
187	536	2317
188	539	2313
189	541	2307
190	544	2306
191	546	2301
192	548	2295
193	552	2295
194	554	2289
195	556	2283
196	559	2281
197	561	2275
198	563	2268
199	567	2270
200	569	2264
201	571	2258
202	574	2255
203	576	2249
204	578	2243
205	580	2237
206	584	2239
207	586	2233
208	589	2229
209	591	2225
210	593	2219
211	595	2213
212	599	2213
213	601	2208
214	603	2202
215	606	2200
216	608	2194
217	610	2188
218	612	2184
219	615	2182
220	617	2177
221	620	2174
222	623	2170
223	624	2165
224	627	2159
225	630	2157
226	632	2153
227	634	2148
228	637	2146
229	639	2140
230	641	2135
231	644	2132
232	646	2129
233	649	2124
234	651	2120
235	653	2116
236	655	2111
237	657	2106
238	660	2104
239	662	2099
240	665	2096
241	668	2093
242	670	2088
243	672	2083
244	675	2080
245	677	2077
246	680	2073
247	682	2070
248	685	2066
249	687	2061
250	689	2056
251	691	2053
252	693	2048
253	696	2046
254	701	2048
255	703	2043
256	705	2038
257	708	2036
258	710	2033
259	713	2030
260	716	2028
261	718	2023
262	720	2018
263	723	2016
264	725	2012
265	728	2008
266	730	2006
267	733	2002
268	735	1997
269	737	1995
270	739	1990
271	742	1986
272	745	1985
273	747	1981
274	749	1976
275	752	1972
276	754	1969
277	756	1965
278	758	1961
279	762	1960
280	764	1956
281	766	1951
282	768	1947
283	770	1943
284	772	1938
285	775	1935
286	777	1931
287	779	1927
288	781	1922
289	784	1920
290	786	1916
291	788	1912
292	790	1908
293	794	1907
294	796	1903
295	798	1899
296	800	1895
297	802	1890
298	804	1886
299	807	1884
300	810	1882
301	812	1877
302	814	1873
303	816	1869
304	818	1865
305	820	1861
306	823	1858
307	826	1856
308	828	1851
309	830	1848
310	832	1844
311	834	1839
312	836	1835
313	839	1833
314	842	1831
315	843	1826
316	846	1822
317	848	1818
318	850	1814
319	852	1810
320	854	1807
321	856	1803
322	858	1799
323	860	1795
324	862	1791
325	864	1787
326	866	1783
327	868	1780
328	870	1776
329	873	1772
330	875	1768
331	877	1766
332	879	1762
333	881	1758
334	883	1754
335	885	1750
336	887	1746
337	889	1742
338	891	1738
339	893	1735
340	895	1731
341	897	1727
342	899	1723
343	901	1719
344	903	1715
345	905	1712
346	907	1708
347	909	1704
348	911	1700
349	913	1696
350	915	1692
351	917	1689
352	919	1685
353	921	1681
354	923	1678
355	925	1674
356	927	1670
357	929	1666
358	931	1663
359	933	1659
360	935	1655
361	937	1652
362	939	1648
363	941	1645
364	943	1641
365	945	1637
366	947	1634
367	949	1630
368	951	1626
369	953	1623
370	955	1619
371	957	1616
372	959	1612
373	961	1609
374	963	1606
375	965	1602
376	967	1599
377	969	1596
378	972	1592
379	973	1589
380	975	1585
381	978	1583
382	981	1581
383	983	1577
384	985	1574
385	989	1573
386	991	1570
387	993	1566
388	996	1564
389	998	1561
390	1000	1558
391	1004	1558
392	1007	1555
393	1009	1552
394	1012	1550
395	1013	1546
396	1015	1543
397	1020	1542
398	1021	1539
399	1023	1535
400	1027	1534
401	1029	1530
402	1031	1527
403	1034	1526
404	1036	1522
405	1038	1519
406	1041	1517
407	1043	1514
408	1045	1511
409	1048	1508
410	1051	1507
